checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,class
0<=X<200,existing paid,business,no known savings,>=7,male single,guarantor,real estate,none,own,unskilled resident,yes,yes,71,7905,2,3,20,1,1,good
no checking,critical/other existing credit,furniture/equipment,no known savings,>=7,male single,none,real estate,none,rent,skilled,none,yes,27,8681,3,1,49,3,1,bad
no checking,existing paid,new car,no known savings,1<=X<4,female div/sep/mar,none,real estate,none,rent,skilled,yes,yes,51,8580,4,2,65,1,1,good
0<=X<200,existing paid,new car,no known savings,<1,male single,none,no known property,none,own,skilled,yes,yes,48,11635,1,2,61,2,1,good
no checking,existing paid,radio/tv,<100,<1,male single,none,car,none,own,skilled,none,yes,61,8861,3,4,40,1,1,good
no checking,delayed previously,radio/tv,<100,<1,male single,none,real estate,none,rent,skilled,none,yes,39,14122,4,2,28,2,2,good
<0,existing paid,furniture/equipment,<100,<1,female div/sep/mar,none,real estate,none,own,unskilled resident,none,yes,5,16937,1,3,70,4,1,good
no checking,existing paid,new car,<100,1<=X<4,male mar/wid,none,car,none,own,skilled,none,yes,21,2412,4,1,48,3,1,good
0<=X<200,no credits/all paid,furniture/equipment,no known savings,1<=X<4,male mar/wid,none,car,none,own,unskilled resident,yes,yes,52,6736,3,4,51,1,1,good
no checking,critical/other existing credit,used car,<100,1<=X<4,female div/sep/mar,none,life insurance,none,own,unskilled resident,none,yes,11,4352,1,4,37,3,1,good
0<=X<200,delayed previously,radio/tv,500<=X<1000,>=7,female div/sep/mar,none,life insurance,none,rent,high qualif/self emp/mgmt,yes,no,61,16198,4,2,64,1,1,good
no checking,existing paid,radio/tv,>=1000,4<=X<7,male single,none,real estate,stores,own,unskilled resident,none,yes,18,10668,3,3,43,2,1,good
0<=X<200,critical/other existing credit,furniture/equipment,no known savings,>=7,male mar/wid,none,car,bank,own,skilled,none,yes,20,1418,4,4,73,1,1,good
<0,critical/other existing credit,new car,no known savings,<1,male single,none,no known property,none,own,skilled,none,yes,26,665,1,3,72,3,2,bad
no checking,existing paid,business,<100,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,none,no,69,11155,1,3,64,1,1,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,co applicant,car,none,own,unskilled resident,none,no,30,13682,1,1,19,3,1,bad
0<=X<200,existing paid,radio/tv,<100,<1,male single,none,life insurance,none,rent,skilled,none,yes,40,5493,3,1,50,3,1,good
no checking,existing paid,new car,<100,unemployed,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,52,16783,4,1,43,2,1,good
no checking,existing paid,furniture/equipment,<100,4<=X<7,male single,none,real estate,none,own,skilled,none,yes,67,6149,4,3,59,4,1,good
>=200,all paid,new car,<100,4<=X<7,female div/sep/mar,none,car,none,rent,skilled,none,no,37,1088,3,1,35,4,1,good
no checking,existing paid,furniture/equipment,>=1000,1<=X<4,male div/sep,none,life insurance,bank,own,high qualif/self emp/mgmt,none,yes,21,6394,1,4,32,1,2,good
0<=X<200,critical/other existing credit,business,<100,1<=X<4,male single,none,car,bank,rent,skilled,none,yes,67,10138,2,4,63,3,1,bad
0<=X<200,no credits/all paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,47,12781,1,2,31,2,1,good
0<=X<200,existing paid,new car,100<=X<500,unemployed,female div/sep/mar,co applicant,real estate,none,own,unskilled resident,none,yes,20,16185,2,3,56,4,1,good
no checking,existing paid,new car,<100,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,62,7716,1,1,57,2,1,good
no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,none,car,bank,own,skilled,none,yes,16,15345,3,4,20,2,1,bad
no checking,existing paid,new car,>=1000,<1,female div/sep/mar,guarantor,real estate,none,for free,unskilled resident,yes,no,55,11443,2,3,50,3,1,good
no checking,existing paid,new car,100<=X<500,>=7,female div/sep/mar,none,car,none,own,skilled,none,yes,63,1570,3,3,50,1,2,good
<0,all paid,radio/tv,>=1000,4<=X<7,male mar/wid,none,life insurance,stores,own,skilled,yes,yes,45,13514,2,1,58,3,1,bad
0<=X<200,existing paid,furniture/equipment,<100,4<=X<7,male single,none,life insurance,bank,own,skilled,none,yes,67,12477,4,3,74,4,1,good
<0,critical/other existing credit,used car,no known savings,1<=X<4,male single,none,life insurance,bank,for free,skilled,yes,yes,69,18157,2,1,24,4,1,bad
>=200,critical/other existing credit,business,100<=X<500,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,37,5484,2,1,43,2,1,bad
0<=X<200,no credits/all paid,new car,<100,1<=X<4,male mar/wid,co applicant,real estate,bank,own,skilled,none,yes,67,12320,2,1,21,3,1,good
no checking,critical/other existing credit,business,100<=X<500,<1,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,36,6394,4,3,36,3,1,good
0<=X<200,delayed previously,used car,no known savings,<1,male single,none,car,none,own,unskilled resident,none,yes,15,802,3,3,68,2,1,good
<0,critical/other existing credit,retraining,<100,>=7,male single,none,car,bank,own,skilled,none,yes,22,17115,4,1,72,1,1,bad
<0,existing paid,radio/tv,<100,4<=X<7,male single,none,life insurance,stores,own,unskilled resident,none,no,12,16219,2,3,73,2,1,bad
no checking,existing paid,education,no known savings,1<=X<4,female div/sep/mar,co applicant,life insurance,none,own,unskilled resident,yes,yes,20,849,1,1,56,2,1,good
no checking,existing paid,business,500<=X<1000,1<=X<4,male single,none,real estate,bank,own,skilled,yes,yes,53,15348,4,2,61,4,1,good
<0,delayed previously,used car,<100,>=7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,42,15050,1,3,21,3,1,bad
<0,existing paid,business,500<=X<1000,<1,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,44,9606,4,3,66,4,1,bad
no checking,no credits/all paid,furniture/equipment,<100,1<=X<4,male single,none,no known property,none,own,skilled,none,yes,13,13120,4,2,23,2,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,none,yes,15,12674,2,2,42,3,1,good
no checking,delayed previously,furniture/equipment,<100,>=7,male single,none,real estate,bank,own,skilled,yes,yes,18,2232,3,2,72,2,1,good
no checking,existing paid,radio/tv,no known savings,>=7,male div/sep,none,real estate,none,rent,skilled,yes,yes,31,18268,3,1,52,2,1,good
<0,delayed previously,new car,no known savings,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,7,8080,2,1,65,1,1,good
<0,critical/other existing credit,radio/tv,<100,>=7,male single,none,car,none,rent,skilled,none,yes,39,3247,4,4,66,4,1,bad
no checking,existing paid,radio/tv,<100,>=7,female div/sep/mar,none,real estate,stores,rent,skilled,none,yes,68,17320,3,2,57,4,1,good
0<=X<200,delayed previously,radio/tv,<100,<1,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,50,11856,3,4,66,2,1,good
0<=X<200,existing paid,education,no known savings,1<=X<4,male mar/wid,none,car,none,own,high qualif/self emp/mgmt,none,yes,42,2009,3,1,42,1,2,good
no checking,critical/other existing credit,furniture/equipment,no known savings,1<=X<4,female div/sep/mar,none,life insurance,bank,own,skilled,none,yes,41,7273,2,3,54,2,1,bad
no checking,existing paid,used car,100<=X<500,>=7,female div/sep/mar,none,car,none,rent,skilled,yes,yes,47,14142,1,2,46,2,1,good
no checking,delayed previously,used car,>=1000,<1,female div/sep/mar,guarantor,car,none,for free,skilled,yes,yes,54,15659,1,3,66,2,2,good
no checking,critical/other existing credit,new car,500<=X<1000,>=7,male single,none,real estate,none,own,skilled,none,no,29,9779,1,1,67,1,1,bad
0<=X<200,critical/other existing credit,new car,<100,1<=X<4,male single,none,car,bank,own,skilled,none,yes,39,364,1,2,52,3,1,good
<0,delayed previously,furniture/equipment,<100,4<=X<7,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,72,12399,1,4,34,1,1,bad
no checking,existing paid,used car,<100,1<=X<4,female div/sep/mar,none,car,none,own,skilled,none,yes,4,17202,3,4,54,2,1,good
>=200,existing paid,business,100<=X<500,4<=X<7,female div/sep/mar,guarantor,life insurance,bank,own,high qualif/self emp/mgmt,yes,yes,56,15951,3,1,25,3,1,good
0<=X<200,critical/other existing credit,radio/tv,100<=X<500,>=7,female div/sep/mar,none,real estate,none,rent,skilled,none,yes,9,9995,4,3,36,2,1,good
no checking,existing paid,furniture/equipment,<100,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,40,2939,3,1,24,1,1,good
<0,no credits/all paid,radio/tv,no known savings,>=7,male single,none,no known property,none,own,skilled,yes,yes,5,3238,2,3,68,1,1,good
0<=X<200,critical/other existing credit,new car,<100,unemployed,female div/sep/mar,none,no known property,bank,own,skilled,none,yes,72,3401,4,1,46,3,1,bad
<0,delayed previously,furniture/equipment,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,44,11969,3,4,57,1,1,bad
0<=X<200,delayed previously,radio/tv,100<=X<500,<1,male single,none,life insurance,none,own,skilled,none,yes,54,15908,4,3,52,2,1,good
<0,existing paid,furniture/equipment,100<=X<500,1<=X<4,male mar/wid,none,real estate,none,own,unskilled resident,yes,yes,50,9263,4,1,69,3,1,bad
<0,delayed previously,furniture/equipment,100<=X<500,1<=X<4,male mar/wid,none,real estate,none,own,skilled,yes,yes,16,6595,1,2,59,4,1,good
<0,existing paid,other,<100,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,72,3824,4,4,47,2,1,good
no checking,delayed previously,retraining,<100,1<=X<4,female div/sep/mar,none,life insurance,none,rent,skilled,none,yes,69,8088,3,4,22,4,1,bad
no checking,existing paid,radio/tv,100<=X<500,>=7,female div/sep/mar,co applicant,no known property,none,own,high qualif/self emp/mgmt,yes,no,62,18242,1,2,32,3,1,good
>=200,delayed previously,radio/tv,<100,<1,female div/sep/mar,none,life insurance,none,own,high qualif/self emp/mgmt,none,yes,71,17193,3,1,23,3,1,good
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,female div/sep/mar,none,life insurance,none,own,unskilled resident,yes,yes,62,13579,1,3,43,2,1,bad
0<=X<200,all paid,new car,500<=X<1000,1<=X<4,male single,none,life insurance,none,for free,skilled,none,yes,13,15073,3,4,57,1,1,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,male single,none,car,none,for free,skilled,none,yes,16,5815,1,1,26,2,1,good
no checking,existing paid,new car,100<=X<500,<1,male single,none,car,none,for free,skilled,yes,yes,5,4685,1,2,33,1,1,good
<0,critical/other existing credit,furniture/equipment,no known savings,>=7,male single,co applicant,car,none,own,skilled,none,yes,18,5900,2,3,37,1,2,bad
no checking,critical/other existing credit,radio/tv,<100,>=7,female div/sep/mar,none,life insurance,bank,own,skilled,yes,yes,49,7686,3,1,29,2,1,good
<0,existing paid,new car,<100,>=7,male single,none,car,stores,own,skilled,none,yes,60,3958,4,1,38,3,1,good
no checking,critical/other existing credit,business,>=1000,>=7,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,13,14701,1,4,73,2,1,good
<0,critical/other existing credit,business,100<=X<500,<1,female div/sep/mar,none,no known property,none,own,skilled,yes,yes,25,1959,3,4,54,4,1,bad
no checking,existing paid,radio/tv,100<=X<500,1<=X<4,male single,guarantor,car,bank,own,unskilled resident,none,yes,11,10203,1,3,36,3,1,good
0<=X<200,existing paid,radio/tv,no known savings,4<=X<7,male div/sep,none,life insurance,none,for free,skilled,yes,yes,24,1942,2,1,32,1,1,good
no checking,delayed previously,education,>=1000,1<=X<4,male single,co applicant,life insurance,none,own,skilled,none,yes,25,15773,2,2,56,3,1,good
<0,critical/other existing credit,new car,no known savings,1<=X<4,female div/sep/mar,none,car,bank,for free,skilled,yes,yes,48,14572,2,2,43,2,1,bad
>=200,critical/other existing credit,domestic appliances,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,yes,yes,43,9687,2,3,34,3,1,good
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,none,no known property,none,own,skilled,none,yes,25,375,4,1,36,1,1,good
0<=X<200,existing paid,domestic appliances,<100,4<=X<7,female div/sep/mar,none,life insurance,none,rent,skilled,yes,yes,33,13194,4,4,19,1,1,good
no checking,critical/other existing credit,used car,<100,<1,male single,none,life insurance,bank,rent,skilled,yes,yes,65,1449,1,1,58,3,1,bad
no checking,existing paid,vacation,<100,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,none,yes,48,6342,3,4,19,4,1,good
0<=X<200,existing paid,business,<100,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,38,16625,2,2,19,1,1,good
no checking,no credits/all paid,new car,no known savings,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,45,2961,2,3,69,4,2,good
>=200,existing paid,furniture/equipment,<100,<1,male single,none,life insurance,none,for free,unskilled resident,none,yes,8,9432,4,3,39,1,1,good
no checking,existing paid,business,<100,>=7,male mar/wid,none,car,none,own,skilled,none,yes,30,6245,4,3,43,3,2,good
<0,existing paid,furniture/equipment,<100,unemployed,female div/sep/mar,guarantor,life insurance,bank,rent,unemp/unskilled non res,none,yes,65,8432,2,4,45,1,1,bad
0<=X<200,delayed previously,education,<100,1<=X<4,male single,none,no known property,none,own,high qualif/self emp/mgmt,none,yes,35,5752,3,2,28,4,1,good
no checking,existing paid,radio/tv,<100,>=7,male single,none,car,stores,rent,skilled,yes,yes,11,13170,1,2,68,4,1,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male mar/wid,none,car,bank,own,skilled,none,yes,21,2815,1,3,30,3,1,good
0<=X<200,existing paid,used car,<100,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,18,11039,1,3,46,4,1,good
no checking,existing paid,new car,100<=X<500,4<=X<7,male single,none,life insurance,bank,rent,unemp/unskilled non res,none,yes,29,5274,1,4,67,4,1,good
0<=X<200,existing paid,radio/tv,no known savings,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,56,1281,3,4,50,3,1,good
<0,all paid,furniture/equipment,no known savings,>=7,female div/sep/mar,none,car,none,rent,unskilled resident,yes,yes,47,1491,3,1,51,1,1,bad
0<=X<200,existing paid,radio/tv,100<=X<500,4<=X<7,male single,guarantor,no known property,bank,own,skilled,none,yes,35,1992,3,4,26,3,1,good
0<=X<200,delayed previously,furniture/equipment,<100,4<=X<7,female div/sep/mar,none,real estate,none,own,unskilled resident,none,no,31,5959,4,1,60,1,1,good
>=200,existing paid,radio/tv,no known savings,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,42,14989,2,3,44,1,1,good
<0,existing paid,education,no known savings,<1,male single,none,no known property,none,own,skilled,none,yes,35,12080,3,2,60,1,1,bad
no checking,existing paid,business,<100,1<=X<4,male single,none,real estate,bank,for free,skilled,none,yes,21,14028,1,4,68,2,1,good
no checking,critical/other existing credit,furniture/equipment,500<=X<1000,1<=X<4,male single,none,car,none,own,unskilled resident,yes,yes,14,8410,3,2,59,1,1,good
no checking,existing paid,education,<100,4<=X<7,male single,none,car,none,own,unskilled resident,none,yes,35,12625,2,4,75,3,1,good
0<=X<200,existing paid,radio/tv,>=1000,1<=X<4,female div/sep/mar,none,car,none,own,unskilled resident,yes,yes,23,4653,4,4,20,3,1,good
0<=X<200,no credits/all paid,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,43,5147,1,1,53,3,1,good
no checking,existing paid,business,<100,unemployed,male single,none,real estate,none,for free,skilled,none,yes,11,413,4,4,52,2,1,good
no checking,existing paid,new car,no known savings,1<=X<4,female div/sep/mar,none,car,bank,own,skilled,none,yes,38,3560,3,3,24,4,1,good
<0,existing paid,new car,100<=X<500,1<=X<4,female div/sep/mar,none,no known property,none,own,skilled,yes,no,72,17629,1,2,49,2,1,bad
no checking,existing paid,education,no known savings,4<=X<7,male single,none,life insurance,bank,rent,skilled,yes,yes,24,15241,1,4,41,3,1,good
no checking,existing paid,furniture/equipment,<100,unemployed,female div/sep/mar,co applicant,life insurance,none,own,skilled,none,yes,27,17982,3,2,30,3,1,good
no checking,existing paid,education,no known savings,4<=X<7,female div/sep/mar,none,car,none,own,skilled,none,yes,20,2501,3,2,72,4,1,good
no checking,critical/other existing credit,business,<100,>=7,male single,none,no known property,none,rent,skilled,none,yes,21,11342,2,2,69,2,1,good
no checking,critical/other existing credit,new car,<100,<1,female div/sep/mar,none,car,bank,own,unskilled resident,none,yes,15,6840,3,4,46,3,1,good
0<=X<200,critical/other existing credit,retraining,<100,1<=X<4,male mar/wid,none,no known property,none,own,skilled,none,no,19,7908,3,1,33,1,1,good
no checking,critical/other existing credit,furniture/equipment,no known savings,<1,male single,none,real estate,none,rent,skilled,yes,yes,7,17066,3,2,37,1,2,good
no checking,no credits/all paid,radio/tv,no known savings,4<=X<7,male single,none,real estate,none,own,skilled,none,yes,37,5497,1,2,30,3,1,good
<0,existing paid,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,car,none,own,skilled,yes,yes,49,7965,2,4,68,1,1,good
<0,no credits/all paid,business,no known savings,1<=X<4,male single,none,car,none,own,skilled,yes,yes,34,4067,1,4,66,4,2,good
0<=X<200,delayed previously,new car,<100,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,28,17704,3,3,20,3,1,bad
no checking,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,real estate,none,own,skilled,none,no,27,4850,2,3,29,2,2,good
no checking,existing paid,radio/tv,<100,<1,female div/sep/mar,guarantor,car,none,own,skilled,yes,yes,68,10232,3,1,62,3,1,good
<0,critical/other existing credit,radio/tv,<100,unemployed,male single,none,real estate,none,own,skilled,yes,yes,28,1244,1,1,55,4,1,bad
>=200,all paid,radio/tv,<100,>=7,male single,none,life insurance,none,own,skilled,yes,yes,31,4981,1,1,74,2,1,good
0<=X<200,critical/other existing credit,new car,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,39,7920,3,1,56,4,1,bad
no checking,existing paid,used car,<100,>=7,male single,none,car,bank,for free,high qualif/self emp/mgmt,none,yes,9,17591,2,2,43,1,1,good
no checking,existing paid,furniture/equipment,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,69,8537,1,4,61,1,1,good
no checking,existing paid,repairs,<100,>=7,male single,none,life insurance,none,rent,skilled,none,yes,70,17265,3,3,39,1,1,good
0<=X<200,existing paid,used car,<100,1<=X<4,male div/sep,guarantor,car,bank,own,skilled,yes,yes,51,12126,4,2,60,4,1,bad
0<=X<200,existing paid,new car,no known savings,>=7,male single,none,car,none,for free,skilled,none,yes,70,17331,3,4,54,4,1,good
0<=X<200,existing paid,business,500<=X<1000,>=7,female div/sep/mar,none,car,none,rent,unskilled resident,yes,yes,51,16665,3,4,27,3,1,good
<0,critical/other existing credit,new car,no known savings,4<=X<7,male single,none,car,none,for free,high qualif/self emp/mgmt,none,yes,68,16102,2,2,30,2,2,bad
no checking,existing paid,other,<100,<1,female div/sep/mar,none,real estate,none,for free,unskilled resident,yes,yes,47,13740,3,2,28,2,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,rent,skilled,yes,yes,66,5812,4,3,64,4,1,good
no checking,existing paid,education,>=1000,<1,female div/sep/mar,none,real estate,bank,for free,skilled,none,yes,49,8990,3,1,23,4,1,good
no checking,critical/other existing credit,used car,<100,1<=X<4,male single,co applicant,real estate,none,own,high qualif/self emp/mgmt,yes,yes,22,2498,4,1,51,1,1,good
>=200,existing paid,new car,<100,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,67,6442,1,3,23,4,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,no known property,none,own,skilled,none,yes,53,10145,3,3,34,1,1,good
no checking,existing paid,education,<100,4<=X<7,female div/sep/mar,none,car,none,own,skilled,yes,yes,66,6656,2,1,55,4,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,car,bank,own,skilled,yes,yes,44,1406,3,2,55,2,1,good
<0,delayed previously,new car,<100,4<=X<7,male single,none,life insurance,none,own,unskilled resident,none,yes,10,14568,4,1,47,3,1,good
0<=X<200,existing paid,radio/tv,100<=X<500,<1,male single,none,life insurance,none,rent,skilled,none,yes,12,8785,4,4,36,4,1,good
<0,existing paid,radio/tv,<100,<1,male single,none,life insurance,none,own,skilled,yes,yes,7,5545,2,4,47,1,1,bad
no checking,delayed previously,radio/tv,<100,<1,female div/sep/mar,none,real estate,none,own,unskilled resident,yes,yes,52,12514,4,3,24,3,1,good
no checking,existing paid,radio/tv,>=1000,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,9,6404,3,1,71,1,2,good
<0,existing paid,education,<100,<1,male single,guarantor,car,none,own,skilled,yes,yes,24,9386,4,1,36,1,2,good
no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,no known property,none,own,skilled,none,yes,18,13463,3,4,50,3,1,good
no checking,critical/other existing credit,new car,no known savings,1<=X<4,male single,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,70,12322,3,1,60,3,1,good
0<=X<200,existing paid,furniture/equipment,<100,>=7,female div/sep/mar,none,real estate,none,rent,skilled,none,yes,69,10492,4,3,65,3,2,good
<0,critical/other existing credit,new car,<100,unemployed,female div/sep/mar,none,car,none,rent,high qualif/self emp/mgmt,none,yes,59,3535,2,3,49,4,1,bad
no checking,existing paid,furniture/equipment,<100,4<=X<7,male div/sep,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,71,9772,1,4,74,3,1,good
0<=X<200,all paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,none,car,none,own,skilled,none,yes,35,2253,2,1,72,4,1,good
no checking,delayed previously,new car,<100,>=7,female div/sep/mar,none,car,bank,for free,unskilled resident,yes,yes,69,10229,1,1,29,2,2,good
0<=X<200,critical/other existing credit,furniture/equipment,>=1000,>=7,female div/sep/mar,none,no known property,none,rent,skilled,none,yes,32,10688,2,4,44,2,1,bad
no checking,existing paid,new car,<100,unemployed,male single,none,life insurance,bank,for free,skilled,yes,yes,69,14477,3,2,46,1,1,good
>=200,critical/other existing credit,repairs,<100,<1,male mar/wid,none,car,none,own,skilled,yes,yes,37,3922,3,2,45,1,1,bad
>=200,critical/other existing credit,business,<100,>=7,male single,none,life insurance,none,own,skilled,yes,yes,30,7708,4,1,37,4,1,bad
no checking,existing paid,new car,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,63,3729,1,3,75,1,1,good
0<=X<200,existing paid,business,100<=X<500,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,42,15137,1,2,63,2,1,good
<0,existing paid,radio/tv,<100,4<=X<7,female div/sep/mar,none,real estate,bank,rent,unskilled resident,yes,yes,47,301,4,1,45,4,1,bad
<0,existing paid,used car,<100,4<=X<7,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,39,2409,2,2,38,4,1,bad
no checking,critical/other existing credit,new car,<100,>=7,female div/sep/mar,none,car,none,own,skilled,none,yes,22,4640,4,4,21,3,1,good
no checking,critical/other existing credit,furniture/equipment,<100,>=7,male single,guarantor,car,none,own,high qualif/self emp/mgmt,yes,yes,48,16330,2,2,34,4,1,bad
no checking,existing paid,domestic appliances,<100,4<=X<7,female div/sep/mar,none,car,bank,own,unskilled resident,none,yes,24,2362,4,2,57,1,1,good
<0,existing paid,radio/tv,no known savings,1<=X<4,male mar/wid,none,car,none,rent,high qualif/self emp/mgmt,none,yes,26,13002,1,4,62,2,1,bad
<0,critical/other existing credit,new car,<100,>=7,female div/sep/mar,none,real estate,none,own,unskilled resident,yes,yes,30,14843,1,3,47,1,1,bad
<0,existing paid,new car,<100,unemployed,female div/sep/mar,none,car,none,own,skilled,none,yes,22,15589,2,1,33,2,1,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,1<=X<4,male mar/wid,none,life insurance,none,own,unskilled resident,yes,yes,44,1604,1,3,48,3,1,bad
>=200,existing paid,used car,500<=X<1000,>=7,male div/sep,none,no known property,none,own,skilled,none,yes,29,5870,1,3,58,2,2,good
0<=X<200,delayed previously,used car,<100,1<=X<4,male single,none,no known property,none,own,high qualif/self emp/mgmt,none,yes,31,4004,1,2,73,3,1,good
0<=X<200,existing paid,used car,100<=X<500,<1,male single,none,real estate,none,for free,skilled,none,yes,67,16843,1,1,67,1,1,good
no checking,delayed previously,repairs,>=1000,<1,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,71,16417,3,2,19,3,1,good
0<=X<200,existing paid,business,no known savings,>=7,male mar/wid,none,real estate,none,own,skilled,yes,yes,54,487,4,4,47,4,1,good
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,male mar/wid,none,life insurance,none,own,skilled,none,no,51,8777,4,3,71,4,2,good
no checking,existing paid,business,<100,4<=X<7,female div/sep/mar,none,car,none,rent,skilled,none,yes,13,8325,3,3,48,2,1,good
0<=X<200,critical/other existing credit,used car,no known savings,1<=X<4,male single,none,real estate,none,rent,skilled,none,yes,42,18210,1,4,58,1,1,bad
no checking,critical/other existing credit,furniture/equipment,no known savings,>=7,male single,none,car,none,rent,skilled,none,yes,22,8941,4,1,64,1,2,good
no checking,existing paid,new car,no known savings,>=7,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,67,10006,4,3,50,2,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,real estate,bank,own,high qualif/self emp/mgmt,none,yes,22,3790,4,3,28,4,1,good
<0,no credits/all paid,business,<100,1<=X<4,male single,co applicant,car,none,own,high qualif/self emp/mgmt,yes,yes,65,9577,2,1,45,3,1,bad
no checking,delayed previously,radio/tv,<100,<1,male mar/wid,none,car,bank,own,high qualif/self emp/mgmt,yes,yes,16,10790,3,2,69,2,1,good
0<=X<200,existing paid,furniture/equipment,500<=X<1000,>=7,male mar/wid,none,no known property,none,rent,unskilled resident,yes,yes,28,7507,2,4,26,3,2,good
<0,existing paid,radio/tv,<100,4<=X<7,male single,none,car,bank,own,skilled,yes,yes,45,16783,2,1,69,3,1,good
0<=X<200,existing paid,new car,<100,>=7,male div/sep,none,car,none,own,skilled,none,yes,42,11970,3,4,54,1,2,good
no checking,existing paid,retraining,no known savings,1<=X<4,male single,co applicant,life insurance,none,own,high qualif/self emp/mgmt,none,yes,33,1874,4,4,60,4,2,good
0<=X<200,existing paid,furniture/equipment,<100,>=7,male single,none,real estate,none,rent,skilled,yes,yes,8,7911,2,3,73,3,1,good
0<=X<200,existing paid,furniture/equipment,no known savings,>=7,male single,none,real estate,stores,rent,skilled,yes,yes,21,7779,4,1,53,4,1,good
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,male single,none,car,none,for free,skilled,yes,yes,24,13904,2,4,54,1,1,bad
<0,existing paid,radio/tv,<100,>=7,female div/sep/mar,none,car,none,own,skilled,yes,yes,53,2358,4,2,66,2,1,good
<0,delayed previously,new car,<100,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,9,4197,1,4,74,2,1,good
<0,existing paid,radio/tv,>=1000,<1,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,53,8149,1,3,54,1,1,bad
<0,existing paid,used car,<100,4<=X<7,male mar/wid,none,car,none,own,skilled,yes,yes,69,13622,1,2,43,1,1,bad
<0,critical/other existing credit,radio/tv,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,yes,yes,4,5164,3,2,38,3,2,bad
<0,delayed previously,education,no known savings,4<=X<7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,60,6917,1,1,70,1,1,good
no checking,critical/other existing credit,repairs,<100,<1,male single,none,car,bank,rent,skilled,yes,yes,33,2513,2,2,63,2,1,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,car,none,own,skilled,none,yes,61,4065,4,1,71,4,2,bad
